MacBook-Air-Maxim:module_08 kme$ docker-compose logs -t
Attaching to service_main, service_presentation, service_author
service_main            | 2023-05-21T20:49:49.020766727Z     exitcode = _main(fd, parent_sentinel)
service_main            | 2023-05-21T20:49:49.020965727Z   File "/usr/lib/python3.10/multiprocessing/spawn.py", line 129, in _main
service_main            | 2023-05-21T20:49:49.021001050Z     return self._bootstrap(parent_sentinel)
service_main            | 2023-05-21T20:49:49.021951550Z   File "/usr/lib/python3.10/multiprocessing/process.py", line 314, in _bootstrap
service_main            | 2023-05-21T20:49:49.021989507Z     self.run()
service_main            | 2023-05-21T20:49:49.022171281Z   File "/usr/lib/python3.10/multiprocessing/process.py", line 108, in run
service_main            | 2023-05-21T20:49:49.022188622Z     self._target(*self._args, **self._kwargs)
service_main            | 2023-05-21T20:49:49.022468755Z   File "/usr/local/lib/python3.10/dist-packages/uvicorn/_subprocess.py", line 76, in subprocess_started
service_main            | 2023-05-21T20:49:49.022487392Z     target(sockets=sockets)
service_main            | 2023-05-21T20:49:49.022769390Z   File "/usr/local/lib/python3.10/dist-packages/uvicorn/server.py", line 60, in run
service_main            | 2023-05-21T20:49:49.022856700Z     return asyncio.run(self.serve(sockets=sockets))
service_main            | 2023-05-21T20:49:49.023144627Z   File "/usr/lib/python3.10/asyncio/runners.py", line 44, in run
service_main            | 2023-05-21T20:49:49.023163951Z     return loop.run_until_complete(main)
service_main            | 2023-05-21T20:49:49.023540289Z   File "/usr/lib/python3.10/asyncio/base_events.py", line 633, in run_until_complete
service_main            | 2023-05-21T20:49:49.023565450Z     self.run_forever()
service_main            | 2023-05-21T20:49:49.023782347Z   File "/usr/lib/python3.10/asyncio/base_events.py", line 600, in run_forever
service_main            | 2023-05-21T20:49:49.023799823Z     self._run_once()
service_main            | 2023-05-21T20:49:49.024260831Z   File "/usr/lib/python3.10/asyncio/base_events.py", line 1896, in _run_once
service_main            | 2023-05-21T20:49:49.024289840Z     handle._run()
service_main            | 2023-05-21T20:49:49.024488150Z   File "/usr/lib/python3.10/asyncio/events.py", line 80, in _run
service_main            | 2023-05-21T20:49:49.024510044Z     self._context.run(self._callback, *self._args)
service_main            | 2023-05-21T20:49:49.024730813Z   File "/usr/local/lib/python3.10/dist-packages/uvicorn/protocols/http/httptools_impl.py", line 419, in run_asgi
service_main            | 2023-05-21T20:49:49.024752104Z     result = await app(  # type: ignore[func-returns-value]
service_main            | 2023-05-21T20:49:49.024927211Z   File "/usr/local/lib/python3.10/dist-packages/uvicorn/middleware/proxy_headers.py", line 78, in __call__
service_main            | 2023-05-21T20:49:49.024944593Z     return await self.app(scope, receive, send)
service_main            | 2023-05-21T20:49:49.025110697Z   File "/usr/local/lib/python3.10/dist-packages/fastapi/applications.py", line 271, in __call__
service_main            | 2023-05-21T20:49:49.025127281Z     await super().__call__(scope, receive, send)
service_main            | 2023-05-21T20:49:49.025291452Z   File "/usr/local/lib/python3.10/dist-packages/starlette/applications.py", line 118, in __call__
service_main            | 2023-05-21T20:49:49.025308047Z     await self.middleware_stack(scope, receive, send)
service_main            | 2023-05-21T20:49:49.025758286Z   File "/usr/local/lib/python3.10/dist-packages/starlette/middleware/errors.py", line 162, in __call__
service_main            | 2023-05-21T20:49:49.025789110Z     await self.app(scope, receive, _send)
service_main            | 2023-05-21T20:49:49.025998113Z   File "/usr/local/lib/python3.10/dist-packages/starlette/middleware/exceptions.py", line 68, in __call__
service_main            | 2023-05-21T20:49:49.026040211Z     await self.app(scope, receive, sender)
service_main            | 2023-05-21T20:49:49.026406683Z   File "/usr/local/lib/python3.10/dist-packages/fastapi/middleware/asyncexitstack.py", line 18, in __call__
service_main            | 2023-05-21T20:49:49.027099652Z     await self.app(scope, receive, send)
service_main            | 2023-05-21T20:49:49.027917027Z   File "/usr/local/lib/python3.10/dist-packages/starlette/routing.py", line 706, in __call__
service_main            | 2023-05-21T20:49:49.027951539Z     await route.handle(scope, receive, send)
service_main            | 2023-05-21T20:49:49.027958486Z   File "/usr/local/lib/python3.10/dist-packages/starlette/routing.py", line 276, in handle
service_main            | 2023-05-21T20:49:49.027963420Z     await self.app(scope, receive, send)
service_main            | 2023-05-21T20:49:49.027968083Z   File "/usr/local/lib/python3.10/dist-packages/starlette/routing.py", line 66, in app
service_main            | 2023-05-21T20:49:49.027972981Z     response = await func(request)
service_main            | 2023-05-21T20:49:49.027977256Z   File "/usr/local/lib/python3.10/dist-packages/fastapi/routing.py", line 237, in app
service_main            | 2023-05-21T20:49:49.027982139Z     raw_response = await run_endpoint_function(
service_main            | 2023-05-21T20:49:49.027986862Z   File "/usr/local/lib/python3.10/dist-packages/fastapi/routing.py", line 163, in run_endpoint_function
service_main            | 2023-05-21T20:49:49.027992654Z     return await dependant.call(**values)
service_main            | 2023-05-21T20:49:49.027998270Z   File "/./service_main.py", line 105, in read_presentation
service_main            | 2023-05-21T20:49:49.028003922Z     author = get_author(presentation.author_id)
service_main            | 2023-05-21T20:49:49.028008897Z   File "/./circuitbreaker.py", line 159, in wrapper
service_main            | 2023-05-21T20:49:49.028013710Z     return call(function, *args, **kwargs)
service_main            | 2023-05-21T20:49:49.028018135Z   File "/./circuitbreaker.py", line 170, in call
service_main            | 2023-05-21T20:49:49.028022724Z     return func(*args, **kwargs)
service_main            | 2023-05-21T20:49:49.028027201Z   File "/./service_main.py", line 76, in get_author
service_main            | 2023-05-21T20:49:49.028031979Z     logging.warning(">>> Error Connecting:", errc)
service_main            | 2023-05-21T20:49:49.028037301Z Message: '>>> Error Connecting:'
service_main            | 2023-05-21T20:49:49.028043196Z Arguments: (ConnectionError(MaxRetryError("HTTPConnectionPool(host='service_author', port=8081): Max retries exceeded with url: /authors/1 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa5c4a6eda0>: Failed to establish a new connection: [Errno -2] Name or service not known'))")),)
service_main            | 2023-05-21T20:49:49.028732744Z INFO:     172.21.0.1:55670 - "GET /presentationsAndAuthor/First%20Presentation HTTP/1.1" 500 Internal Server Error
service_main            | 2023-05-21T20:49:49.807704049Z WARNING:root:Circuit "get_author" is "closed", failures: 1
service_main            | 2023-05-21T20:49:49.825289870Z WARNING:root:
service_main            | 2023-05-21T20:49:50.829383494Z WARNING:root:Circuit "get_author" is "closed", failures: 1
service_main            | 2023-05-21T20:49:50.852572072Z WARNING:root:
service_main            | 2023-05-21T20:49:50.903708422Z --- Logging error ---
service_main            | 2023-05-21T20:49:50.904613162Z Traceback (most recent call last):
service_main            | 2023-05-21T20:49:50.904965505Z   File "/usr/local/lib/python3.10/dist-packages/urllib3/connection.py", line 174, in _new_conn
service_main            | 2023-05-21T20:49:50.904983448Z     conn = connection.create_connection(
service_main            | 2023-05-21T20:49:50.905386431Z   File "/usr/local/lib/python3.10/dist-packages/urllib3/util/connection.py", line 72, in create_connection
service_main            | 2023-05-21T20:49:50.905403563Z     for res in socket.getaddrinfo(host, port, family, socket.SOCK_STREAM):
service_main            | 2023-05-21T20:49:50.905562143Z   File "/usr/lib/python3.10/socket.py", line 955, in getaddrinfo
service_main            | 2023-05-21T20:49:50.905575858Z     for res in _socket.getaddrinfo(host, port, family, type, proto, flags):
service_main            | 2023-05-21T20:49:50.905934496Z socket.gaierror: [Errno -2] Name or service not known
service_main            | 2023-05-21T20:49:50.906147079Z 
service_main            | 2023-05-21T20:49:50.906161803Z During handling of the above exception, another exception occurred:
